Parcel ID,Address,Investment Flag,Estimated Value,Confidence,Comp Count,Price/sqft,Sqft,Beds,Baths,Year Built,Assessed Value,Last Sale Price,Last Sale Date,Prop Type,Status,Notes
16131100100000,"2941 W WILCOX ST, CHICAGO, IL, 60612",NO,"$265,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 113.2%
16111240030000,"3655 W OHIO ST, CHICAGO, IL, 60624",YES,"$390,000",LOW,23,N/A,,3.0,,,N/A,N/A,,,success,23 comp(s) used | variance 47.8%
16162210690000,"4814 W HARRISON ST, CHICAGO, IL, 60644",MAYBE,"$299,500",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 103.7%
25103280170000,"10204 S SOUTH PARK AVE, CHICAGO, IL",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 400: {""status"":{""version"":""1.0.0"",""code"":400,""msg"":""SuccessWithoutResult"",""total"":0,""responseDateTime"":""2"
20223060070000,"6813 S STATE ST, CHICAGO, IL, 60637",NO,"$170,000",LOW,25,N/A,,3.0,,,N/A,N/A,,,success,25 comp(s) used | variance 234.7%
20161220020000,"5803 S UNION AVE, CHICAGO, IL, 60621",NO,"$127,750",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 86.7%
20201140070000,"6517 S LAFLIN ST 1, CHICAGO, IL, 60636",NO,"$190,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 52.3%
29122020130000,"283 CRANDON AVE, CALUMET CITY, IL, 60409",NO,"$206,850",LOW,24,N/A,,6.0,,,N/A,N/A,,,success,24 comp(s) used | variance 44.4%
16111280500000,"401 N SPRINGFIELD AVE, CHICAGO, IL, 60624",MAYBE,"$280,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 102.4%
25034110150000,"741 E 92ND ST, CHICAGO, IL, 60619",NO,"$132,500",LOW,24,N/A,,3.0,,,N/A,N/A,,,success,24 comp(s) used | variance 92.4%
16232260420000,"1552 S CHRISTIANA AVE, CHICAGO, IL, 60623",MAYBE,"$320,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 60.8%
16133090220000,"3007 W LEXINGTON ST, CHICAGO, IL, 60612",NO,"$80,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 184.1%
16023310350000,"3658 W CHICAGO AVE, CHICAGO, IL, 60651",MAYBE,"$320,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 98.7%
20182300030000,"5805 S PAULINA ST, CHICAGO, IL, 60636",NO,"$87,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 128.7%
16094280160000,"4815 W WASHINGTON BLVD, CHICAGO, IL, 60644",YES,"$330,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 96.9%
