Parcel ID,Address,Investment Flag,Estimated Value,Confidence,Comp Count,Price/sqft,Sqft,Beds,Baths,Year Built,Assessed Value,Last Sale Price,Last Sale Date,Prop Type,Status,Notes
16234140210000,"1845 S SAWYER AVE, CHICAGO, IL, 60623",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 401: {""Response"":{""status"":{""version"": ""1.0.0"",""code"": ""401"",""msg"": ""Unauthorized"",""total"": ""0"",""page"": """
16142160010000,"3575 W FIFTH AVE, CHICAGO, IL, 60624",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 401: {""Response"":{""status"":{""version"": ""1.0.0"",""code"": ""401"",""msg"": ""Unauthorized"",""total"": ""0"",""page"": """
16153100370000,"4722 W ARTHINGTON ST, CHICAGO, IL, 60644",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 401: {""Response"":{""status"":{""version"": ""1.0.0"",""code"": ""401"",""msg"": ""Unauthorized"",""total"": ""0"",""page"": """
20182220410000,"5748 S MARSHFIELD AVE, CHICAGO, IL, 60636",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 401: {""Response"":{""status"":{""version"": ""1.0.0"",""code"": ""401"",""msg"": ""Unauthorized"",""total"": ""0"",""page"": """
20194060360000,"6738 S MARSHFIELD AVE, CHICAGO, IL, 60636",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 401: {""Response"":{""status"":{""version"": ""1.0.0"",""code"": ""401"",""msg"": ""Unauthorized"",""total"": ""0"",""page"": """
20321090170000,"8057 S JUSTINE ST, CHICAGO, IL, 60620",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 401: {""Response"":{""status"":{""version"": ""1.0.0"",""code"": ""401"",""msg"": ""Unauthorized"",""total"": ""0"",""page"": """
25153180080000,"10917 S MICHIGAN AVE, CHICAGO, IL, 60628",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 401: {""Response"":{""status"":{""version"": ""1.0.0"",""code"": ""401"",""msg"": ""Unauthorized"",""total"": ""0"",""page"": """
25271050110000,"11921 S PRAIRIE AVE, CHICAGO, IL, 60628",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 401: {""Response"":{""status"":{""version"": ""1.0.0"",""code"": ""401"",""msg"": ""Unauthorized"",""total"": ""0"",""page"": """
31042000050000,"5100 183RD ST, TINLEY PARK, IL 60477",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 401: {""Response"":{""status"":{""version"": ""1.0.0"",""code"": ""401"",""msg"": ""Unauthorized"",""total"": ""0"",""page"": """
26062110450000,"8854 S BALTIMORE AVE, CHICAGO, IL 60601",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 401: {""Response"":{""status"":{""version"": ""1.0.0"",""code"": ""401"",""msg"": ""Unauthorized"",""total"": ""0"",""page"": """
